序号,原书页码,原词条,lexeme_uid,lemma,pos,ipa,english,spanish,chinese,example_fr,example_en,example_es,example_zh,review_status
214,215,copain(copine),fr:copain:noun:1,copain,noun,/kɔ.pɛ̃/,"friend, chum, mate (UK), pal, buddy","camarada, amigo",《俗》朋友；伙伴,Voici le copain.,Here it is.,Aquí está.,这是朋友。,machine-assisted
215,215,coq,fr:coq:noun:1,coq,noun,/kɔk/,"male chicken, rooster, cockerel, cock",gallo,公鸡，雄鸡,On parle du coq.,We are talking about it.,Estamos hablando de ello.,我们正在谈论公鸡。,machine-assisted
216,215,corps,fr:corps:noun:1,corps,noun,/kɔʁ/,body,cuerpo,身体,On parle du corps.,We are talking about it.,Estamos hablando de ello.,我们正在谈论身体。,machine-assisted
217,216,correctement,fr:correctement:adverb:1,correctement,adverb,/kɔ.ʁɛk.tə.mɑ̃/,correctly (in a correct manner),correctamente,正确地；合适地,Elle répond correctement.,She answers correctly.,Responde correctamente.,她回答得很正确。,machine-assisted
218,216,correspondance,fr:correspondance:noun:1,correspondance,noun,/kɔ.ʁɛs.pɔ̃.dɑ̃s/,correspondence,correspondencia,通信，通信联系；（集）书信，信件,Voici la correspondance.,Here it is.,Aquí está.,这是通信。,machine-assisted
219,216,correspondant(e),fr:correspondant:noun:1,correspondant,noun,/kɔ.ʁɛs.pɔ̃.dɑ̃/,pen pal,correspondiente,通信者，有信件来往者,Voici le correspondant.,Here it is.,Aquí está.,这是通信者。,machine-assisted
220,216,Corse (la),fr:corse:proper_noun:1,Corse,proper_noun,/kɔʁs/,"Corsica (an island and administrative region of France, in the Mediterranean to the north of Sardinia)",Córcega,科西嘉（岛）（法国）,Je connais bien Corse.,I know Corsica well.,Conozco bien Córcega.,我很了解科西嘉岛。,machine-assisted
221,216,côté,fr:côté:noun:1,côté,noun,/ko.te/,side,lado,旁，侧,Voici le côté.,Here it is.,Aquí está.,这是旁。,machine-assisted
222,216,à côté (de),fr:à côté:preposition:1,à côté,preposition,/a ko.te/,"beside, next to",cerca,在（的）旁边,La pharmacie est juste à côté.,The pharmacy is right next door.,La farmacia está justo al lado.,药房就在隔壁。,machine-assisted
223,216,coucher(se),fr:coucher:verb:1,coucher,verb,/ku.ʃe/,"to lay, to lay down",acostar,躺下；上床，睡觉去,Je vais coucher le bébé.,I am going to lay the baby.,Voy a acostar al bebé.,我要去哄孩子睡觉了。,machine-assisted
224,216,couleur,fr:couleur:noun:1,couleur,noun,/ku.lœʁ/,color/colour,color,色，颜色,On parle de la couleur.,We are talking about it.,Estamos hablando de ello.,我们正在谈论色。,machine-assisted
225,216,couloir,fr:couloir:noun:1,couloir,noun,/ku.lwaʁ/,"corridor, hallway",pasillo,走廊,On parle du couloir.,We are talking about it.,Estamos hablando de ello.,我们正在谈论走廊。,machine-assisted
226,216,couple,fr:couple:noun:1,couple,noun,/kupl/,two partners in a romantic or sexual relationship,pareja,一对夫妇；一对情侣,Voici le couple.,Here it is.,Aquí está.,这是一对夫妇。,machine-assisted
227,216,cours,fr:cours:noun:1,cours,noun,/kuʁ/,"stream of water, river","curso, recorrido, trayecto",课，课程,Voici le cours.,Here it is.,Aquí está.,这是课。,machine-assisted
228,216,course,fr:course:noun:1,course,noun,/kuʁs/,"run, running",carrera,跑；奔跑,On parle de la course.,We are talking about it.,Estamos hablando de ello.,我们正在谈论跑。,machine-assisted
229,216,faire des / les courses,fr:faire les courses:verb:1,faire les courses,verb,/fɛʁ le kuʁs/,"to do the shopping, to do the shopping errands",hacer la compra,购物,Je fais les courses le samedi.,I do the shopping on Saturdays.,Hago la compra los sábados.,星期六我去购物。,machine-assisted
230,216,court(e),fr:court:adjective:1,court,adjective,/kuʁ/,short,corto,短的,C’est quelque chose de court.,It is something short.,Es algo corto.,内容很短。,machine-assisted
231,216,coûter,fr:coûter:verb:1,coûter,verb,/ku.te/,to cost,costar,价值（多少钱）；花费，花钱,Ce billet coûte dix euros.,This ticket costs ten euros.,Este billete cuesta diez euros.,这张票要十欧元。,machine-assisted
232,216,couture,fr:couture:noun:1,couture,noun,/ku.tyʁ/,sewing,costura,服装业，时装业,On parle de la couture.,We are talking about it.,Estamos hablando de ello.,我们正在谈论服装业。,machine-assisted
233,216,haute couture,fr:haute couture:noun:1,haute couture,noun,/ot ku.tyʁ/,"haute couture, high fashion",alta costura,高档时装业,Voici les haute couture.,Here it is.,Aquí está.,这些是高档时装业。,machine-assisted
234,216,crêpe,fr:crêpe:noun:1,crêpe,noun,/kʁɛp/,crepe,crepe,可丽饼（一种以鸡蛋、面粉为原料的油煎薄饼）,Voici le crêpe.,Here it is.,Aquí está.,这是可丽饼（一种以鸡蛋、面粉为原料的油煎薄饼）。,machine-assisted
235,216,crêperie,fr:crêperie:noun:1,crêperie,noun,/kʁɛ.pʁi/,a restaurant specialising in making crêpes,crepería,薄饼店，可丽饼店,Voici la crêperie.,Here it is.,Aquí está.,这是薄饼店。,machine-assisted
236,216,croire,fr:croire:verb:1,croire,verb,/kʁwaʁ/,to believe (someone),creer,相信,Je vais croire cette histoire.,I am going to believe this story.,Voy a creer esta historia.,我会相信这个故事。,machine-assisted
237,216,croissant,fr:croissant:noun:1,croissant,noun,/kʁwa.sɑ̃/,crescent,medialuna (manjar de repostería),羊角面包；月牙,Voici le croissant.,Here it is.,Aquí está.,这是羊角面包。,machine-assisted
238,216,cuisine,fr:cuisine:noun:1,cuisine,noun,/kɥi.zin/,kitchen,cocina,厨房；烹调，烹饪法；菜肴,Voici la cuisine.,Here it is.,Aquí está.,这是厨房。,machine-assisted
239,216,culturel(le),fr:culturel:adjective:1,culturel,adjective,/kyl.ty.ʁɛl/,cultural,cultural,文化的,C’est quelque chose de culturel.,It is something cultural.,Es algo cultural.,这是一个文化问题。,machine-assisted
240,216,d'abord,fr:d'abord:adverb:1,d'abord,adverb,/d‿a.bɔʁ/,"first, at first, right away",primeramente,首先,"D’abord, lisez la question.","First, read the question.","Primero, lea la pregunta.",首先，请读题目。,machine-assisted
241,216,d'accord,fr:d'accord:adverb:1,d'accord,adverb,/da.kɔʁ/,in agreement,de acuerdo,同意，赞同,"D’accord, je viens avec toi.","All right, I am coming with you.","De acuerdo, voy contigo.",好吧，我跟你一起去。,machine-assisted
242,216,Dakar,fr:dakar:proper_noun:1,Dakar,proper_noun,/dakˈaʁ/,Dakar (the capital city of Senegal),Dakar,达喀尔（塞内加尔）,Je connais bien Dakar.,I know Dakar well.,Conozco bien Dakar.,我很了解达喀尔。,machine-assisted
243,216,dans,fr:dans:preposition:1,dans,preposition,/dɑ̃/,"in, inside (enclosed in a physical space, a group, a state)",en,在……里；处于……状态,Les clés sont dans le sac.,The keys are in the bag.,Las llaves están en el bolso.,钥匙在包里。,machine-assisted
244,216,danse,fr:danse:noun:1,danse,noun,/dɑ̃s/,dance,"danza, baile",舞蹈,On parle de la danse.,We are talking about it.,Estamos hablando de ello.,我们正在谈论舞蹈。,machine-assisted
245,216,de,fr:de:preposition:1,de,preposition,/də/,from (used to indicate origin),de (indica posesiva),从；自；……的,Je viens de Lyon.,I come from Lyon.,Vengo de Lyon.,我来自里昂。,machine-assisted
246,216,degré,fr:degré:noun:1,degré,noun,/də.ɡʁe/,degree,grada,程度，度,On parle du degré.,We are talking about it.,Estamos hablando de ello.,我们正在谈论程度。,machine-assisted
247,216,déjà,fr:déjà:adverb:1,déjà,adverb,/de.ʒa/,"already, before",ya,已经,J’ai déjà terminé.,I have already finished.,Ya he terminado.,我已经完成了。,machine-assisted
248,216,déjeuner,fr:déjeuner:verb:1,déjeuner,verb,/de.ʒœ.ne/,"to lunch, to eat lunch, to have lunch",comer,午饭；吃午饭,Nous allons déjeuner au café.,We are going to have lunch at the café.,Vamos a almorzar en la cafetería.,我们要去咖啡馆吃午饭。,machine-assisted
249,216,demander,fr:demander:verb:1,demander,verb,/də.mɑ̃.de/,to ask for,pedir,请求，要求,Je vais demander une information.,I am going to ask for some information.,Voy a pedir información.,我要询问信息。,machine-assisted
250,216,demander à qn de faire qch.,fr:demander à:verb:1,demander à,verb,/də.mɑ̃.de/,to ask someone to,pedir a,要求某人做某事,Je demande à Paul de venir.,I ask Paul to come.,Le pido a Paul que venga.,我请保罗来。,machine-assisted
251,216,départ,fr:départ:noun:1,départ,noun,/de.paʁ/,"departure, start",salida,出发,Voici le départ.,Here it is.,Aquí está.,这是出发。,machine-assisted
252,216,dépense,fr:dépense:noun:1,dépense,noun,/de.pɑ̃s/,expense,gasto,开销,Voici la dépense.,Here it is.,Aquí está.,这是开销。,machine-assisted
253,216,dernier(ère),fr:dernier:adjective:1,dernier,adjective,/dɛʁ.nje/,last,último,最近的，最新的；最后的,C’est quelque chose de dernier.,It is something last.,Es algo último.,这是最后的事情。,machine-assisted
254,216,descendre,fr:descendre:verb:1,descendre,verb,/de.sɑ̃dʁ/,to go down,bajar,下来,Je descends à la prochaine station.,I am getting off at the next station.,Bajo en la próxima estación.,我在下一站下车。,machine-assisted
255,216,désolé(e),fr:désolé:adjective:1,désolé,adjective,/de.zɔ.le/,"desolate, forsaken",lo siento,感到遗憾的，感到抱歉的,C’est quelque chose de désolé.,"It is something desolate, forsaken.",Es algo lo siento.,这是一件令人遗憾的事。,machine-assisted
256,216,dessert,fr:dessert:noun:1,dessert,noun,/de.sɛʁ/,"dessert, pudding",postre,甜点,Voici le dessert.,Here it is.,Aquí está.,这是甜点。,machine-assisted
257,216,destination,fr:destination:noun:1,destination,noun,/dɛs.ti.na.sjɔ̃/,destination,destino,目的地,Voici la destination.,Here it is.,Aquí está.,这是目的地。,machine-assisted
258,216,détendre(se),fr:détendre:verb:1,détendre,verb,/de.tɑ̃dʁ/,to relax,relajar; relajarse,放松,Cette musique détend l’atmosphère.,This music relaxes the atmosphere.,Esta música relaja el ambiente.,这首音乐放松了气氛。,machine-assisted
259,216,détester,fr:détester:verb:1,détester,verb,/de.tɛs.te/,"to hate, to detest (to thoroughly dislike)",aborrecer,厌恶，憎恨,Je vais détester le bruit.,I am going to hate the noise.,Voy a aborrecer el ruido.,我会讨厌噪音。,machine-assisted
260,216,deux-chevaux,fr:deux-chevaux:noun:1,deux-chevaux,noun,/dø.ʃ(ə).vo/,2CV,Citroën 2CV,两马力的小汽车,On parle du deux-chevaux.,We are talking about it.,Estamos hablando de ello.,我们正在谈论两马力的小汽车。,machine-assisted
261,216,deuxième,fr:deuxième:adjective:1,deuxième,adjective,/dø.zjɛm/,second,segundo,第二的,C’est quelque chose de deuxième.,It is something second.,Es algo segundo.,这是第二件事。,machine-assisted
262,216,devant,fr:devant:preposition:1,devant,preposition,/də.vɑ̃/,"confronted with, faced with","delante, delante de",在…前面,Le taxi attend devant l’hôtel.,The taxi is waiting in front of the hotel.,El taxi espera delante del hotel.,出租车在酒店门前等候。,machine-assisted
263,216,difficile,fr:difficile:adjective:1,difficile,adjective,/di.fi.sil/,difficult,difícil,困难的,Cet exercice est difficile.,This exercise is difficult.,Este ejercicio es difícil.,这个练习很难。,seed-reviewed
264,216,dimanche,fr:dimanche:noun:1,dimanche,noun,/di.mɑ̃ʃ/,Sunday,domingo,周日,Nous restons à la maison dimanche.,We are staying home on Sunday.,Nos quedamos en casa el domingo.,周日我们待在家里。,machine-assisted
265,216,dîner,fr:dîner:verb:1,dîner,verb,/di.ne/,to dine,cenar,晚餐；吃晚餐,Nous allons dîner au restaurant.,We are going to have dinner at the restaurant.,Vamos a cenar en el restaurante.,我们要去餐厅吃晚饭。,machine-assisted
266,216,dire,fr:dire:verb:1,dire,verb,/diʁ/,"to say, to tell (to express through speech)",decir,说，说出,Je vais dire la vérité.,I am going to say the truth.,Voy a decir la verdad.,我会说实话。,machine-assisted
267,216,direct(e),fr:direct:adjective:1,direct,adjective,/di.ʁɛkt/,direct,directo,直的；直接的,C’est quelque chose de direct.,It is something direct.,Es algo directo.,这是直接的东西。,machine-assisted
268,216,directeur(trice),fr:directeur:noun:1,directeur,noun,/di.ʁɛk.tœʁ/,director,director,经理,On parle du directeur.,We are talking about it.,Estamos hablando de ello.,我们正在谈论经理。,machine-assisted
269,216,discothèque,fr:discothèque:noun:1,discothèque,noun,/dis.kɔ.tɛk/,"record library, library of discs",discoteca,迪斯科舞厅,On parle de la discothèque.,We are talking about it.,Estamos hablando de ello.,我们正在谈论迪斯科舞厅。,machine-assisted
270,216,docteur,fr:docteur:noun:1,docteur,noun,/dɔk.tœʁ/,a doctor (physician),doctor,医生,Voici le docteur.,Here it is.,Aquí está.,这是医生。,machine-assisted
271,216,document,fr:document:noun:1,document,noun,/dɔ.ky.mɑ̃/,document,documento,材料，文件,On parle du document.,We are talking about it.,Estamos hablando de ello.,我们正在谈论材料。,machine-assisted
272,216,donc,fr:donc:adverb:1,donc,adverb,/dɔ̃k/,"therefore, consequently; thus","pues, entonces, luego, por lo tanto",嗯，好吧（用来引出被岔开的话题）；因此，所以,"Il pleut, donc je reste ici.","It is raining, so I am staying here.","Llueve, así que me quedo aquí.",下雨了，所以我留在这里。,machine-assisted
273,216,donner,fr:donner:verb:1,donner,verb,/dɔ.ne/,to give,"dar, otorgar, entregar",给,Je vais donner un conseil.,I am going to give some advice.,Voy a dar un consejo.,我会给一些建议。,machine-assisted
274,216,dormir,fr:dormir:verb:1,dormir,verb,/dɔʁ.miʁ/,to sleep,dormir,睡觉,Je vais dormir huit heures.,I am going to sleep for eight hours.,Voy a dormir ocho horas.,我会睡八个小时。,machine-assisted
275,216,douche,fr:douche:noun:1,douche,noun,/duʃ/,shower,ducha,淋浴；淋浴设备，莲蓬头,Voici la douche.,Here it is.,Aquí está.,这是淋浴。,machine-assisted
276,216,droit,fr:droit:noun:1,droit,noun,/dʁwa/,right (entitlement),derecho,笔直地,Voici le droit.,Here it is.,Aquí está.,这是笔直地。,machine-assisted
277,216,droite,fr:droite:noun:1,droite,noun,/dʁwat/,straight line,derecha,右面，右边，右方,On parle de la droite.,We are talking about it.,Estamos hablando de ello.,我们正在谈论右面。,machine-assisted
278,216,à droite (de),fr:à droite:expression:1,à droite,expression,/a dʁwat/,on the right; to the right,a la derecha,在（的）右边,Tournez à droite après la banque.,Turn right after the bank.,Gire a la derecha después del banco.,经过银行后右转。,machine-assisted
279,216,dynamique,fr:dynamique:adjective:1,dynamique,adjective,/di.na.mik/,"in motion, dynamic",dinámico,有活力的；充满活力的,C’est quelque chose de dynamique.,"It is something in motion, dynamic.",Es algo dinámico.,这是动态的。,machine-assisted
280,216,eau,fr:eau:noun:1,eau,noun,/o/,water,agua,水,Je voudrais un verre d’eau.,I would like a glass of water.,Quisiera un vaso de agua.,我想要一杯水。,seed-reviewed
281,216,école,fr:école:noun:1,école,noun,/e.kɔl/,school,escuela,小学,Les enfants sont à l’école.,The children are at school.,Los niños están en la escuela.,孩子们正在上学。,seed-reviewed
282,216,écouter,fr:écouter:verb:1,écouter,verb,/e.ku.te/,to listen to,escuchar,听,Je vais écouter la radio.,I am going to listen to the radio.,Voy a escuchar la radio.,我要去听广播。,machine-assisted
283,216,écrire,fr:écrire:verb:1,écrire,verb,/e.kʁiʁ/,to write,escribir,写,Je vais écrire un message.,I am going to write a message.,Voy a escribir un mensaje.,我会写一条消息。,machine-assisted
284,216,écrivain,fr:écrivain:noun:1,écrivain,noun,/e.kʁi.vɛ̃/,writer,escritor,作家,On parle de l’écrivain.,We are talking about it.,Estamos hablando de ello.,我们正在谈论作家。,machine-assisted
285,216,e-mail,fr:e-mail:noun:1,e-mail,noun,/i.mɛl/,An e-mail,e-mail,电子邮件,On parle de l’e-mail.,We are talking about it.,Estamos hablando de ello.,我们正在谈论电子邮件。,machine-assisted
286,216,embrasser,fr:embrasser:verb:1,embrasser,verb,/ɑ̃.bʁa.se/,"to hug, embrace (to affectionately wrap one's arms around another)",abrazar,拥抱；亲吻,Je vais embrasser ma mère.,I am going to hug my mother.,Voy a abrazar a mi madre.,我要吻我妈妈。,machine-assisted
287,216,employé(e),fr:employé:noun:1,employé,noun,/ɑ̃.plwa.je/,employee,empleado,雇员,On parle de l’employé.,We are talking about it.,Estamos hablando de ello.,我们正在谈论雇员。,machine-assisted
288,216,en,fr:en:preposition:1,en,preposition,/ɑ̃/,"in (used to indicate space, also see usage notes)","en cuanto a, por lo tocante a, respecto de, acerca de",在……里；在……时；以……方式,Elle habite en France.,She lives in France.,Vive en Francia.,她住在法国。,machine-assisted
289,217,endormir(s'),fr:endormir:verb:1,endormir,verb,/ɑ̃.dɔʁ.miʁ/,to put to sleep,dormir; adormecer,睡着,Elle va endormir le bébé.,She is going to put the baby to sleep.,Va a dormir al bebé.,她要去哄孩子睡觉。,machine-assisted
290,217,enfance,fr:enfance:noun:1,enfance,noun,/ɑ̃.fɑ̃s/,childhood,infancia o niñez,童年,Voici l’enfance.,Here it is.,Aquí está.,这是童年。,machine-assisted
291,217,enfant,fr:enfant:noun:1,enfant,noun,/ɑ̃.fɑ̃/,child,niño; niña,孩子,Les enfants aiment ce livre.,The children like this book.,A los niños les gusta este libro.,孩子们很喜欢这本书。,seed-reviewed
292,217,enfin,fr:enfin:adverb:1,enfin,adverb,/ɑ̃.fɛ̃/,finally; in the end,"por último, finalmente, para terminar, en fin",最后，终于；总之；（表示更正前面的话）其实，至少，不过,Le bus arrive enfin.,The bus is finally arriving.,Por fin llega el autobús.,公共汽车终于来了。,machine-assisted
293,217,ennuyer(s'),fr:ennuyer:verb:1,ennuyer,verb,/ɑ̃.nɥi.je/,to bore,aburrir,感到厌倦；感到烦恼,Ce bruit ennuie mes voisins.,This noise bothers my neighbours.,Este ruido molesta a mis vecinos.,这种噪音惹恼了我的邻居。,machine-assisted
294,217,en plus,fr:en plus:adverb:1,en plus,adverb,/ɑ̃ plys/,"moreover, what is more, on top of that",además,并且，而且,"Il est rapide et, en plus, très précis.","He is fast and, moreover, very precise.","Es rápido y, además, muy preciso.",他速度快，而且非常精准。,machine-assisted
295,217,enquête,fr:enquête:noun:1,enquête,noun,/ɑ̃.kɛt/,"inquest, investigation, examination",encuesta,调查,Voici l’enquête.,Here it is.,Aquí está.,这是调查。,machine-assisted
296,217,ensemble,fr:ensemble:adverb:1,ensemble,adverb,/ɑ̃.sɑ̃bl/,together,juntos,一起,Nous travaillons ensemble.,We work together.,Trabajamos juntos.,我们一起工作。,machine-assisted
297,217,ensuite,fr:ensuite:adverb:1,ensuite,adverb,/ɑ̃.sɥit/,"in turn, subsequently, thereafter, then","a continuación, después",然后，接下来,"Ensuite, tournez à gauche.",Then turn left.,"Después, gire a la izquierda.",然后左转。,machine-assisted
298,217,entraînement,fr:entraînement:noun:1,entraînement,noun,/ɑ̃.tʁɛn.mɑ̃/,training,entrenamiento,训练,On parle de l’entraînement.,We are talking about it.,Estamos hablando de ello.,我们正在谈论训练。,machine-assisted
299,217,entraîner(s'),fr:entraîner:verb:1,entraîner,verb,/ɑ̃.tʁɛ.ne/,"to coach, to train",entrenar,训练,Elle entraîne une équipe de jeunes.,She coaches a youth team.,Entrena a un equipo juvenil.,她执教一支青年队。,machine-assisted
300,217,entre,fr:entre:preposition:1,entre,preposition,/ɑ̃tʁ/,between,entre,在之间,La poste est entre la banque et le café.,The post office is between the bank and the café.,Correos está entre el banco y la cafetería.,邮局位于银行和咖啡馆之间。,machine-assisted
301,217,entrée,fr:entrée:noun:1,entrée,noun,/ɑ̃.tʁe/,"entry, act of entering",entrada,入口；门厅,On parle de l’entrée.,We are talking about it.,Estamos hablando de ello.,我们正在谈论入口。,machine-assisted
302,217,entreprise,fr:entreprise:noun:1,entreprise,noun,/ɑ̃.tʁə.pʁiz/,"company, business","empresa, compañía",企业,On parle de l’entreprise.,We are talking about it.,Estamos hablando de ello.,我们正在谈论企业。,machine-assisted
303,217,entrer,fr:entrer:verb:1,entrer,verb,/ɑ̃.tʁe/,to enter,entrar,进入,Vous pouvez entrer maintenant.,You can come in now.,Puede entrar ahora.,你现在可以进入了。,machine-assisted
304,217,entretien,fr:entretien:noun:1,entretien,noun,/ɑ̃.tʁə.tjɛ̃/,upkeep (maintenance),entrevista,面试，会面,Voici l’entretien.,Here it is.,Aquí está.,这是面试。,machine-assisted
305,217,envie,fr:envie:noun:1,envie,noun,/ɑ̃.vi/,"desire, lust, urge",celos o envidia,欲望，强烈的愿望,On parle de l’envie.,We are talking about it.,Estamos hablando de ello.,我们正在谈论欲望。,machine-assisted
306,217,avoir envie de qch. / faire qch.,fr:avoir envie de:verb:1,avoir envie de,verb,/a.vwaʁ/,to want; to feel like,tener ganas de,想，意欲,J’ai envie de voyager.,I feel like travelling.,Tengo ganas de viajar.,我想去旅行。,machine-assisted
307,217,époque,fr:époque:noun:1,époque,noun,/e.pɔk/,epoch,época,时代；时期,On parle de l’époque.,We are talking about it.,Estamos hablando de ello.,我们正在谈论时代。,machine-assisted
308,217,erreur,fr:erreur:noun:1,erreur,noun,/e.ʁœʁ/,error (a faulty process of thought that leads to conclusions out of agreement with reality),error,错误,On parle de l’erreur.,We are talking about it.,Estamos hablando de ello.,我们正在谈论错误。,machine-assisted
309,217,espace,fr:espace:noun:1,espace,noun,/ɛs.pas/,space,espacio,空间；场地，场所,On parle de l’espace.,We are talking about it.,Estamos hablando de ello.,我们正在谈论空间。,machine-assisted
310,217,espace vert,fr:espace vert:expression:1,espace vert,expression,/ɛspˈas vˈɛʁ/,green space; park,zona verde,绿地,Les enfants jouent dans cet espace vert.,The children are playing in this green space.,Los niños juegan en esta zona verde.,孩子们在这片绿地里玩耍。,machine-assisted
311,217,espagnol,fr:espagnol:noun:1,espagnol,noun,/ɛs.pa.ɲɔl/,Spanish language,español,西班牙语,On parle de l’espagnol.,We are talking about it.,Estamos hablando de ello.,我们正在谈论西班牙语。,machine-assisted
312,217,Espagnol(e),fr:espagnol:noun:2,Espagnol,noun,/ɛs.pa.ɲɔl/,Spaniard (male),español,西班牙人,Voici l’Espagnol.,Here it is.,Aquí está.,这是西班牙人。,machine-assisted
313,217,espagnol(e),fr:espagnol:adjective:1,espagnol,adjective,/ɛs.pa.ɲɔl/,"Spanish, from or otherwise related to Spain, its people etc",español,西班牙的,C’est quelque chose d’espagnol.,"It is something Spanish, from or otherwise related to Spain, its people etc.",Es algo español.,这是西班牙的东西。,machine-assisted
314,217,essayer,fr:essayer:verb:1,essayer,verb,/e.sɛ.je/,to try on; to try,probar,试；试穿；尝试,Je vais essayer ce manteau.,I am going to try on this coat.,Voy a probar este abrigo.,我要试试这件外套。,machine-assisted
315,217,essayer de faire qch.,fr:essayer de:verb:1,essayer de,verb,/e.sɛ.je/,to try to,intentar,尝试做某事,Nous essayons de comprendre.,We are trying to understand.,Intentamos comprender.,我们尝试去理解。,machine-assisted
316,217,est,fr:est:noun:1,est,noun,/ɛst/,east,este,东，东边，东方,Voici l’est.,Here it is.,Aquí está.,这是东。,machine-assisted
317,217,et,fr:et:conjunction:1,et,conjunction,/e/,and,et; et,和，而，且；（表示数量的相加）加，又,Paul et Marie arrivent demain.,Paul and Marie arrive tomorrow.,Paul y Marie llegan mañana.,保罗和玛丽明天抵达。,machine-assisted
318,217,étage,fr:étage:noun:1,étage,noun,/e.taʒ/,"floor, storey",piso; planta,楼层,Voici l’étage.,Here it is.,Aquí está.,这是楼层。,machine-assisted
319,217,étagère,fr:étagère:noun:1,étagère,noun,/e.ta.ʒɛʁ/,"shelf (flat, rigid structure, fixed at right angles to a wall or forming a part of a cabinet, desk, etc., and used to support, store or display objects)",estantería,（固定在墙上的）格，隔板，架子；多层架子,Voici l’étagère.,Here it is.,Aquí está.,这是（固定在墙上的）格。,machine-assisted
320,217,été,fr:été:noun:1,été,noun,/e.te/,summer,verano,夏天,Voici l’été.,Here it is.,Aquí está.,这是夏天。,machine-assisted
321,217,étranger,fr:étranger:adjective:1,étranger,adjective,/e.tʁɑ̃.ʒe/,foreign,extranjero,外国，异国,C’est quelque chose d’étranger.,It is something foreign.,Es algo extranjero.,这是外国的东西。,machine-assisted
322,217,à l'étranger,fr:à l'étranger:adverb:1,à l'étranger,adverb,/a l‿e.tʁɑ̃.ʒe/,abroad,en el extranjero,去国外；在国外,Elle travaille à l’étranger.,She works abroad.,Trabaja en el extranjero.,她在国外工作。,machine-assisted
323,217,étranger(ère),fr:étranger:noun:1,étranger,noun,/e.tʁɑ̃.ʒe/,foreigner,extranjero,外国的,Voici l’étranger.,Here it is.,Aquí está.,这是外国的。,machine-assisted
324,217,être,fr:être:verb:1,être,verb,/ɛtʁ/,to be,ser; estar,是；处于,Je suis à la maison.,I am at home.,Estoy en casa.,我在家。,seed-reviewed
325,217,étudiant(e),fr:étudiant:noun:1,étudiant,noun,/e.ty.djɑ̃/,student,estudiante,大学生,Voici l’étudiant.,Here it is.,Aquí está.,这是大学生。,machine-assisted
326,217,euro,fr:euro:noun:1,euro,noun,/ø.ʁo/,euro (currency),euro²,欧元,On parle de l’euro.,We are talking about it.,Estamos hablando de ello.,我们正在谈论欧元。,machine-assisted
327,217,Europe,fr:europe:proper_noun:1,Europe,proper_noun,/ø.ʁɔp/,Europe (a continent located west of Asia and north of Africa),europa,欧洲,Je connais bien Europe.,I know Europe well.,Conozco bien Europa.,我很了解欧洲。,machine-assisted
328,217,éviter,fr:éviter:verb:1,éviter,verb,/e.vi.te/,to avoid,evitar,避免,Je vais éviter un accident.,I am going to avoid an accident.,Voy a evitar un accidente.,我会避免发生事故。,machine-assisted
329,217,exactement,fr:exactement:adverb:1,exactement,adverb,/ɛɡ.zak.tə.mɑ̃/,"exactly, quite",exactamente,准确地,C’est exactement ce que je cherche.,That is exactly what I am looking for.,Eso es exactamente lo que busco.,这正是我正在寻找的。,machine-assisted
330,217,excellent(e),fr:excellent:adjective:1,excellent,adjective,/ɛk.sɛ.lɑ̃/,excellent; splendid,excelente,特别好的,C’est quelque chose d’excellent.,It is something excellent.,Es algo excelente.,这是一件很棒的事情。,machine-assisted
331,217,excuser,fr:excuser:verb:1,excuser,verb,/ɛk.sky.ze/,"to excuse (to forgive, to pardon)","disculpar, perdonar",原谅，宽恕,Je vais excuser son retard.,I am going to excuse his lateness.,Voy a disculpar su retraso.,我会原谅他的迟到。,machine-assisted
332,217,exister,fr:exister:verb:1,exister,verb,/ɛɡ.zis.te/,to exist,existir,存在,Ce service existe encore.,This service still exists.,Este servicio todavía existe.,这项服务仍然存在。,machine-assisted
333,217,expérience,fr:expérience:noun:1,expérience,noun,/ɛk.spe.ʁjɑ̃s/,"experiment, trial, test",experiencia,经验；经历,Voici l’expérience.,Here it is.,Aquí está.,这是经验。,machine-assisted
334,217,fabriquer,fr:fabriquer:verb:1,fabriquer,verb,/fa.bʁi.ke/,to make; to build; to manufacture,fabricar,制造，生产,Je vais fabriquer une table.,I am going to make a table.,Voy a fabricar una mesa.,我要做一张桌子。,machine-assisted
335,217,fac,fr:fac:noun:1,fac,noun,/fak/,university,facultad,《俗》大学（的缩写）,Voici la fac.,Here it is.,Aquí está.,这是大学（的缩写）。,machine-assisted
336,217,face,fr:face:noun:1,face,noun,/fas/,face,cara o rostro,（物体的）面,On parle de la face.,We are talking about it.,Estamos hablando de ello.,我们正在谈论（物体的）面。,machine-assisted
337,217,facile,fr:facile:adjective:1,facile,adjective,/fa.sil/,easy,fácil,容易的,La question est facile.,The question is easy.,La pregunta es fácil.,这个问题很简单。,seed-reviewed
338,217,facilement,fr:facilement:adverb:1,facilement,adverb,/fa.sil.mɑ̃/,easily,fácilmente,容易地，轻易地,On trouve facilement cette adresse.,This address is easy to find.,Esta dirección se encuentra fácilmente.,这个地址很容易找到。,machine-assisted
339,217,faire,fr:faire:verb:1,faire,verb,/fɛʁ/,to do,hacer,做,Je fais mes devoirs.,I am doing my homework.,Estoy haciendo mis deberes.,我做作业。,seed-reviewed
