序号,原书页码,法语词条,中文释义,对齐分数
704,222,se rappeler,记得；想起,1.62
705,222,récent(e),最近的，新近的,1.65
706,222,réception,接待处,1.65
707,222,réceptionniste,（旅馆、商店等的）接待员,1.64
708,222,rechercher,寻找；搜寻,1.65
709,222,recommencer,重新开始,1.64
710,222,regarder,看,1.64
711,222,remercier,感谢,1.65
712,222,rencontrer,碰见，遇见，结识,1.64
713,222,se rencontrer,相遇,1.62
714,222,rendez-vous,约会，预约,1.64
715,222,sur rendez-vous,须预约；按预约,1.63
716,222,renseignement,有关资料，情况，消息,1.65
717,222,rentrer,回来，回到；回家,1.64
718,222,repas,餐；进餐,1.64
719,222,répondre (à),回答，答复,1.65
720,222,réponse,回答，答复；回信；答案,1.65
721,222,reportage,报道,1.65
722,222,reposer(se),休息,1.65
723,222,reprendre,重新从事,1.65
724,222,république,共和国,1.64
725,222,réserver,预订，保留，预留,1.65
726,222,résidence,住所，住处，寓所,1.65
727,222,responsable,负责人,1.65
728,222,restaurant,餐馆；饭店,1.65
729,222,reste,其余部分；其余的人；剩余部分,1.65
730,222,rester,停留，逗留；保持，始终处于（某种姿势、状态）,1.65
731,222,résultat,结果,1.65
732,222,retourner,返回,1.65
733,222,retraite,退休,1.65
734,222,retrouver,找回；再见到,1.65
735,222,réunion,会议,1.65
736,222,réussir,成功；做成,1.65
737,222,revenir,回来,1.65
738,222,rêver,做梦,1.65
739,222,rez-de-chaussée,（建筑物的）底层，一楼,1.65
740,222,riz,大米,1.65
741,222,robe,（女用）长外衣，连衣裙,1.65
742,222,Rochelle (La),拉罗谢尔（法国）,1.65
743,222,rollers,轮滑鞋,1.65
744,222,romantique,浪漫的，罗曼蒂克的,1.65
745,222,roue,轮子,1.65
746,222,rouge,红色的,1.65
747,222,rouler,（车辆等）行驶,1.65
748,222,route,道路，公路，大路,1.65
749,222,rue,街，街道，马路,1.65
750,222,sac,包,1.64
751,222,Saint-Étienne,圣艾蒂安（法国）,1.65
752,223,Saint-Valentin (la),情人节,1.63
753,223,salade,凉拌生菜；生菜；沙拉,1.64
754,223,salle,房间，室,1.63
755,223,salle de bains,浴室,1.60
756,223,salon,客厅,1.63
757,223,salut,《俗》你好；再见,1.63
758,223,samedi,周六,1.63
759,223,savoir,知道，会,1.63
760,223,sculpteur(trice),雕刻家，雕塑家,1.63
761,223,secondaire,第二的；次要的,1.63
762,223,secrétaire,秘书,1.63
763,223,semaine,星期，周,1.63
764,223,Sénégal,塞内加尔,1.63
765,223,septembre,九月,1.63
766,223,seul(e),单独的，独自的；孤单的,1.63
767,223,"serveur,se",服务生，服务员,1.64
768,223,seulement,只，仅仅,1.63
769,223,sexe,性别,1.63
770,223,shopping,在商店购物,1.63
771,223,Sicile (la),西西里岛（意大利）,1.63
772,223,s'il vous plaît,请，请您，请问,1.63
773,223,simple,单一的,1.63
774,223,ski,滑雪,1.63
775,223,slam,诗歌朗诵表演,1.63
776,223,SNCF,法国国家铁路公司,1.63
777,223,société,公司,1.63
778,223,sœur,姐妹,0.98
779,223,soir,晚上,1.63
780,223,soirée,夜晚,1.64
781,223,soleil,太阳，阳光,1.63
782,223,sombre,昏暗的，阴暗的,1.63
783,223,sondage,抽样调查，民意测验,1.65
784,223,sortir,出去；出门；外出,1.63
785,223,souriant(e),面带微笑的,1.63
786,223,sous,在…下面,1.63
787,223,souvenir,回忆,1.63
788,223,souvenir(se),记得，忆及，想起；记住，记着,1.63
789,223,souvent,经常，常常,1.63
790,223,sport,运动，体育运动，运动项目,1.63
791,223,sportif(ive),有关体育的，运动的；从事体育运动的，爱好体育运动的,1.63
792,223,Strasbourg,斯特拉斯堡（法国阿尔萨斯大区下莱茵省首府，欧洲议会所在地）,1.63
793,223,stress,压力，紧张,1.63
794,223,sucre,糖,1.63
795,223,sud,南，南边，南方,1.63
796,223,Suisse,瑞士,1.63
797,223,suivre,跟随,1.63
798,223,super,棒极了，最棒的,1.63
799,223,supermarché,超市,1.63
800,223,supprimer,除去，除掉,1.63
801,223,sur,在…上面；（表示相关）关于，对于,1.63
802,223,sûr(e),确信的，肯定的；有把握的,1.63
803,223,bien sûr,当然,1.59
804,223,surprise,惊喜,1.63
805,223,symbole,象征，标志，符号,1.63
806,223,sympa,《俗》讨人喜欢的；友好的,1.63
807,223,table,桌子,1.63
808,223,tableau,画,1.62
809,223,tableau,表，表格,1.63
810,223,taille,（成衣的）尺码，号码,1.62
811,223,tapis,地毯,1.63
812,223,tard,晚,1.63
813,223,tarif,定价,1.63
814,223,taxi,出租车,1.63
815,223,tee-shirt,T恤衫,1.63
816,223,téléphone,电话；电话机,1.63
817,223,téléphoner,打电话,1.63
818,223,téléphoner à qn,给某人打电话,1.59
819,223,télévision,电视；电视机；电视行业,1.63
820,223,témoignage,见证，证词,1.62
821,223,température,温度,1.63
822,223,temps,天气,1.63
823,223,tenir,拿着,1.63
824,223,tennis,网球（运动）,1.63
825,223,terminer(se),结束,1.62
826,223,terrasse,露台，晒台，大阳台；（咖啡馆、餐馆设在人行道上的）露天加座,1.62
827,224,terrible,可怕的，骇人的,1.65
828,224,terrifié(e),吓坏了的,1.13
829,224,texte,歌词（与音乐相对）；文本,1.65
830,224,TGV,法国高速列车,1.65
831,224,thé,（泡好的）茶；茶叶,1.65
832,224,théâtre,剧场；戏剧；戏剧艺术,1.65
833,224,toilette,梳洗，盥洗；梳妆，打扮；卫生间，厕所,1.65
834,224,tomber,跌落，落下,1.65
835,224,tôt,早,1.65
836,224,toujours,一直，总是,1.65
837,224,tour,塔，细高建筑物,1.65
838,224,tourisme,旅游业,1.65
839,224,"tout (toute, tous, toutes)",全部；所有；完全；很,1.40
840,224,tout de suite,立即，马上,1.61
841,224,train,火车,1.65
842,224,tranquille,安静的,1.65
843,224,travail (travaux),工作；工程,1.65
844,224,faire des travaux,装修，翻修,1.62
845,224,travailler,工作,1.64
846,224,traverser,穿越，穿过,1.65
847,224,très,很，极，非常,1.64
848,224,triomphe,胜利，凯旋,1.65
849,224,troisième,第三的,1.65
850,224,trop,过多地,1.64
851,224,trouver,找到，发现；感到，觉得，认为，以为,1.65
852,224,type,类型，型；种,1.64
853,224,utiliser,使用,1.64
854,224,vacances,假期,1.64
855,224,vélo,自行车,1.64
856,224,Vendôme,旺多姆（法国）,1.64
857,224,vendre,卖；销售,1.64
858,224,vendredi,周五,1.65
859,224,venir,来,1.64
860,224,verre,玻璃杯,1.64
861,224,vers,将近，接近（指时间）；朝，向…（指具体方向）,1.65
862,224,vert(e),青的，绿色的,1.65
863,224,vêtement,衣服，服装，衣裳,1.65
864,224,viande,肉,1.65
865,224,vie,人生；生活，生活方式；生平,1.65
866,224,Vienne,维也纳（奥地利）,1.65
867,224,viennois(e),维也纳的,1.64
868,224,vieux (vieille),年老的；古老的，旧的,1.64
869,224,ville,城市,1.65
870,224,vin,葡萄酒,1.64
871,224,visiter,参观，游览,1.65
872,224,vite,快速地,1.64
873,224,vitesse,速度,1.64
874,224,vivement,快，赶快（用作感叹词，表示命令或愿望）,1.65
875,224,vivre,生活,1.65
876,224,voici,这是，这儿是，这就是,1.65
877,224,voie,道路；车道；轨道,1.65
878,224,voilà,那就是，这就是,1.65
879,224,voir,看见；看望；细想，思考，考虑,1.65
880,224,voisin(e),邻居；邻座的人,1.65
881,224,voiture,汽车，小轿车；（火车）车厢,1.65
882,224,volley-ball,排球，排球运动,1.65
883,224,vouloir,想要,1.65
884,224,voyage,旅行；旅程，旅途,1.65
885,224,agence de voyages,旅行社,1.62
886,224,voyager,旅行,1.65
887,224,vrai,真实的，确实的,1.65
888,224,vraiment,真的，的确（用来加强肯定的语气或表示惊奇等）,1.65
889,224,waouh,哇！（表示惊叹、赞美）,1.65
890,224,week-end,周末,1.65
891,224,yaourt,酸奶,1.65
